typing_speed,typos,sleep_hours,screen_hours,expression,user_type,stress_level
33,8,2.3,15.8,No face detected,professional,92.0
54,13,4.4,5.8,disgust,casual,94.5
37,8,3.4,2.3,angry,student,67.0
66,6,5.2,9.5,sad,professional,64.0
104,6,9.5,7.8,disgust,professional,84.0
66,8,6.6,3.1,angry,student,57.0
48,15,7.2,3.3,sad,casual,72.5
28,3,2.0,9.9,surprise,casual,64.5
115,11,9.5,7.3,happy,gamer,61.5
58,4,9.9,1.2,neutral,casual,46.0
79,6,4.8,10.3,surprise,professional,44.0
16,11,1.3,1.0,sad,professional,96.5
17,4,3.9,12.1,sad,student,100.0
29,2,7.4,4.2,surprise,gamer,33.0
65,2,4.6,7.4,sad,gamer,58.0
30,12,10.5,15.8,sad,professional,100.0
58,6,5.2,15.8,surprise,student,49.0
40,13,5.4,12.6,No face detected,student,69.5
89,8,6.6,4.3,neutral,gamer,22.0
75,10,7.9,1.8,happy,student,30.0
99,11,7.9,10.8,No face detected,gamer,56.5
58,15,6.7,8.0,angry,casual,92.5
110,10,5.4,5.4,happy,professional,55.0
98,10,6.2,12.5,angry,gamer,80.0
87,2,5.8,5.2,sad,casual,83.0
115,9,3.4,10.8,neutral,student,88.5
61,5,5.3,12.0,neutral,casual,72.5
89,1,9.4,4.9,disgust,student,66.5
97,15,6.9,4.1,angry,professional,72.5
110,9,8.1,14.5,sad,professional,98.5
18,11,7.5,1.9,neutral,casual,36.5
95,4,10.6,1.4,fear,professional,81.0
20,9,6.5,1.3,neutral,casual,23.5
33,12,1.4,9.0,No face detected,gamer,93.0
103,1,4.0,3.9,disgust,casual,81.5
48,8,2.8,11.8,angry,gamer,97.0
64,7,5.6,7.5,fear,gamer,70.5
54,4,10.8,14.0,sad,casual,96.0
79,13,4.6,15.0,angry,professional,94.5
110,7,2.2,13.3,disgust,casual,100.0
60,0,10.5,5.7,disgust,casual,80.0
16,4,6.3,9.1,sad,student,71.0
76,1,6.1,7.0,disgust,gamer,41.5
16,9,8.5,15.5,angry,student,100.0
85,9,9.5,16.0,disgust,gamer,83.5
110,13,5.6,7.0,angry,professional,94.5
20,5,6.9,6.6,happy,professional,42.5
13,14,5.9,4.8,surprise,student,61.0
67,5,9.1,7.3,happy,gamer,32.5
80,7,10.2,2.2,happy,gamer,30.5
42,4,7.0,5.2,No face detected,professional,31.0
39,3,2.0,3.5,angry,casual,79.5
107,4,10.6,10.6,fear,casual,100.0
51,15,10.3,2.4,fear,professional,82.5
70,1,8.0,2.1,happy,professional,1.5
42,6,7.9,10.6,neutral,casual,54.0
82,0,1.5,8.8,No face detected,professional,65.0
58,9,3.0,8.9,disgust,professional,78.5
119,10,5.1,0.7,sad,casual,80.0
100,8,10.2,6.9,happy,casual,72.0
78,2,3.2,9.5,surprise,student,58.0
71,15,11.0,2.0,happy,gamer,42.5
28,2,10.1,1.6,disgust,casual,53.0
10,6,2.2,8.0,happy,casual,74.0
40,1,3.3,8.2,angry,professional,71.5
81,14,4.1,4.5,surprise,student,61.0
27,8,7.8,14.1,angry,casual,72.0
84,11,8.3,4.1,disgust,student,76.5
92,12,5.7,13.3,neutral,casual,88.0
56,9,4.8,8.6,angry,student,78.5
94,11,10.8,15.1,disgust,gamer,100.0
116,2,5.7,7.0,sad,casual,83.0
42,3,7.5,8.3,surprise,casual,39.5
10,10,8.4,5.5,No face detected,casual,70.0
63,4,2.0,5.7,angry,casual,100.0
26,6,5.0,11.5,disgust,professional,89.0
24,7,6.6,14.9,disgust,student,80.5
40,10,10.2,3.9,angry,casual,80.0
77,0,5.1,13.5,sad,professional,65.0
67,2,2.8,2.3,disgust,casual,83.0
48,9,4.9,4.7,sad,student,58.5
26,3,7.6,10.9,happy,gamer,44.5
84,1,3.1,5.1,sad,casual,91.5
99,12,1.2,12.1,surprise,casual,100.0
18,7,11.0,12.6,disgust,student,100.0
38,10,1.1,15.1,surprise,gamer,90.0
74,4,10.4,14.4,angry,gamer,86.0
114,7,3.6,2.6,angry,gamer,85.5
30,1,9.9,13.1,neutral,casual,51.5
47,9,4.1,15.9,neutral,professional,63.5
48,1,9.6,1.4,disgust,casual,56.5
34,4,5.7,14.6,sad,casual,71.0
32,2,5.3,5.5,disgust,professional,68.0
11,1,3.3,5.7,neutral,student,66.5
49,13,10.0,12.8,surprise,gamer,69.5
112,14,8.6,12.6,fear,student,100.0
25,5,4.4,15.4,happy,professional,67.5
87,0,4.0,6.2,No face detected,gamer,40.0
54,12,8.1,6.1,neutral,student,48.0
112,12,8.3,15.3,sad,gamer,100.0
32,7,1.1,3.8,neutral,gamer,70.5
112,1,8.0,12.3,No face detected,casual,66.5
44,15,9.9,13.2,No face detected,gamer,87.5
34,8,1.1,6.3,sad,professional,92.0
98,11,10.4,3.5,sad,student,91.5
81,4,10.5,6.6,disgust,professional,76.0
32,3,10.4,5.1,surprise,student,39.5
83,6,7.8,7.7,sad,student,74.0
69,15,2.0,2.3,surprise,professional,52.5
40,5,7.7,4.7,surprise,gamer,27.5
99,4,8.0,15.0,disgust,casual,86.0
100,11,4.6,4.6,sad,student,86.5
67,2,4.9,6.9,disgust,casual,83.0
28,8,2.6,12.3,sad,professional,100.0
39,3,2.6,8.4,neutral,student,54.5
86,8,10.8,13.9,neutral,professional,77.0
98,13,7.7,7.9,angry,gamer,74.5
29,11,6.7,6.9,angry,casual,66.5
72,13,1.7,6.0,surprise,student,74.5
65,14,2.6,8.0,angry,gamer,91.0
55,11,8.9,10.7,fear,gamer,81.5
17,5,5.9,5.7,disgust,gamer,72.5
36,10,2.2,4.9,neutral,professional,60.0
29,4,1.8,8.1,disgust,gamer,96.0
57,10,3.1,11.5,neutral,casual,85.0
48,5,6.1,7.2,happy,gamer,27.5
23,4,7.6,14.0,No face detected,professional,71.0
61,1,8.8,15.1,angry,gamer,71.5
20,4,9.1,7.7,disgust,gamer,86.0
42,0,8.3,10.3,sad,casual,75.0
114,15,9.4,12.6,sad,gamer,100.0
66,13,7.3,4.4,fear,student,69.5
57,13,1.1,13.5,sad,student,99.5
117,10,1.6,7.0,surprise,student,80.0
80,6,7.9,11.6,happy,professional,29.0
63,10,10.4,13.3,neutral,gamer,65.0
27,3,2.0,7.5,neutral,professional,69.5
73,15,4.1,3.9,neutral,casual,82.5
53,5,3.8,8.0,neutral,professional,47.5
103,11,11.0,7.0,happy,student,71.5
65,13,8.2,4.3,neutral,gamer,39.5
79,13,6.7,12.6,happy,professional,39.5
11,10,11.0,14.4,happy,casual,75.0
115,15,1.6,4.3,angry,student,100.0
45,2,2.4,8.6,disgust,casual,93.0
103,4,5.4,2.5,angry,casual,76.0
41,11,9.1,14.5,fear,student,96.5
68,11,3.0,9.2,angry,casual,100.0
47,4,6.5,9.2,happy,professional,21.0
57,10,1.0,8.9,angry,gamer,85.0
91,12,9.6,2.3,sad,student,88.0
101,10,1.2,12.7,angry,professional,100.0
13,6,10.6,11.6,happy,professional,74.0
59,15,1.7,5.6,sad,casual,100.0
66,4,6.5,1.8,fear,student,56.0
19,14,11.0,6.0,sad,student,100.0
47,3,9.9,5.2,angry,professional,64.5
63,10,1.2,9.1,sad,casual,100.0
72,1,6.2,12.2,disgust,casual,81.5
47,12,4.9,13.0,disgust,professional,83.0
87,2,8.4,13.2,No face detected,professional,63.0
120,9,7.8,4.4,fear,gamer,73.5
71,10,1.2,14.7,neutral,professional,75.0
98,14,1.2,13.4,neutral,gamer,86.0
75,9,1.2,3.7,fear,gamer,78.5
112,11,5.7,10.6,sad,casual,100.0
12,5,9.8,13.0,disgust,student,100.0
39,8,1.6,5.8,sad,professional,87.0
63,8,10.5,5.2,sad,professional,72.0
38,11,3.7,3.2,No face detected,student,51.5
32,13,3.5,4.2,sad,student,69.5
58,13,4.3,10.9,neutral,casual,84.5
20,1,8.9,7.5,neutral,professional,56.5
79,10,8.0,12.1,surprise,student,60.0
117,13,6.2,14.8,No face detected,student,84.5
16,9,4.9,10.9,sad,professional,98.5
41,12,8.1,9.6,neutral,gamer,68.0
31,0,1.5,15.8,disgust,casual,85.0
116,3,8.8,14.0,happy,casual,64.5
91,13,4.3,0.5,sad,gamer,74.5
82,1,5.8,4.7,surprise,gamer,16.5
39,7,8.0,6.8,fear,student,60.5
31,3,3.0,3.1,angry,student,59.5
85,7,1.4,13.3,surprise,student,85.5
111,7,5.5,10.8,sad,casual,100.0
59,15,4.2,3.9,surprise,gamer,42.5
85,8,10.6,10.2,angry,professional,92.0
10,14,9.6,4.5,fear,professional,100.0
69,10,2.9,7.7,angry,gamer,85.0
55,12,10.5,3.1,angry,professional,73.0
32,15,5.8,14.8,disgust,gamer,100.0
27,6,9.1,2.6,happy,casual,24.0
71,2,5.7,8.0,No face detected,casual,73.0
117,14,6.0,11.3,happy,student,66.0
104,14,8.3,2.5,fear,professional,91.0
85,14,1.8,9.9,fear,gamer,100.0
36,2,3.0,14.1,neutral,professional,68.0
79,15,3.1,1.5,happy,professional,42.5
101,14,11.0,12.7,neutral,professional,91.0
111,11,3.0,10.4,sad,student,100.0
19,10,5.1,9.0,sad,professional,95.0
63,3,6.2,10.9,sad,gamer,49.5
79,5,10.7,8.0,No face detected,student,72.5
93,8,3.7,5.1,No face detected,casual,87.0
27,7,1.4,11.6,No face detected,student,80.5
64,6,5.9,8.4,neutral,professional,44.0
66,7,3.6,14.0,angry,casual,100.0
59,11,6.2,9.4,angry,student,66.5
63,0,2.4,13.7,surprise,gamer,50.0
27,1,8.3,12.0,No face detected,casual,51.5
57,7,9.8,3.4,fear,professional,65.5
112,6,3.8,15.3,fear,student,100.0
108,11,6.4,6.1,disgust,student,81.5
57,6,5.9,13.4,sad,student,74.0
58,14,6.8,10.7,happy,professional,36.0
35,1,1.2,8.3,No face detected,casual,66.5
23,6,2.3,12.2,disgust,professional,100.0
98,2,2.5,11.8,fear,student,100.0
51,7,4.4,11.5,fear,student,85.5
80,12,7.6,7.8,disgust,gamer,58.0
46,3,9.6,14.2,neutral,student,54.5
79,14,9.6,2.9,disgust,casual,91.0
69,3,8.9,6.0,disgust,casual,79.5
17,0,4.6,9.1,fear,professional,95.0
26,2,2.2,11.0,sad,student,88.0
16,11,10.5,10.4,happy,professional,76.5
114,13,7.6,1.9,No face detected,professional,59.5
66,13,4.5,3.8,happy,gamer,34.5
93,12,4.8,14.8,No face detected,gamer,83.0
64,1,9.9,12.9,No face detected,student,66.5
118,11,10.3,12.1,surprise,student,91.5
102,13,7.4,2.7,neutral,gamer,44.5
68,12,6.2,6.6,No face detected,casual,68.0
62,11,3.9,15.4,neutral,professional,71.5
74,14,5.6,8.1,disgust,gamer,71.0
18,7,9.8,10.2,No face detected,student,80.5
108,0,5.6,14.9,No face detected,professional,70.0
112,12,6.8,3.1,neutral,professional,53.0
50,6,6.8,15.9,happy,gamer,34.0
46,15,2.0,0.5,fear,student,87.5
100,9,4.1,8.8,surprise,casual,78.5
51,5,3.5,8.1,angry,student,77.5
65,14,2.3,7.2,fear,student,100.0
84,11,7.0,5.0,fear,professional,66.5
96,1,9.7,11.7,No face detected,casual,81.5
66,13,2.6,1.1,fear,casual,100.0
106,11,6.7,15.0,disgust,professional,91.5
55,6,8.4,11.1,fear,gamer,74.0
47,0,7.6,0.6,neutral,professional,10.0
89,12,2.4,8.3,angry,student,100.0
105,9,1.9,6.0,disgust,gamer,83.5
105,6,5.1,7.6,angry,gamer,79.0
48,9,8.9,12.8,disgust,gamer,83.5
63,10,3.7,2.2,angry,student,80.0
57,4,5.8,6.6,neutral,student,36.0
91,6,5.3,8.4,surprise,student,64.0
86,5,7.8,5.8,sad,gamer,37.5
73,9,2.4,14.8,disgust,gamer,93.5
117,3,6.1,0.5,happy,gamer,24.5
45,15,4.0,6.8,No face detected,student,62.5
86,0,8.8,7.1,No face detected,professional,45.0
79,2,10.2,12.7,fear,casual,100.0
98,1,1.2,0.5,sad,gamer,66.5
59,2,6.7,14.3,sad,gamer,58.0
84,4,6.4,1.6,neutral,casual,41.0
85,7,2.8,1.9,angry,student,90.5
82,12,6.9,6.7,fear,professional,78.0
58,8,6.0,0.7,surprise,casual,32.0
31,12,2.9,9.6,angry,gamer,100.0
102,9,9.9,3.7,No face detected,student,68.5
40,6,8.3,2.9,No face detected,casual,34.0
90,12,10.0,14.3,neutral,gamer,68.0
65,8,1.3,12.2,No face detected,student,87.0
61,2,8.0,14.1,fear,professional,68.0
15,3,6.0,13.1,neutral,student,59.5
90,1,2.8,6.9,neutral,gamer,46.5
46,2,5.8,1.6,sad,gamer,53.0
104,3,8.8,7.2,surprise,professional,49.5
84,6,1.9,11.1,disgust,casual,100.0
105,14,2.8,9.4,fear,student,100.0
93,6,2.4,0.9,fear,student,99.0
94,12,5.2,10.7,sad,casual,100.0
113,5,1.6,7.0,fear,gamer,100.0
56,11,6.9,7.1,neutral,professional,36.5
16,14,8.0,0.6,sad,gamer,76.0
31,14,10.8,2.7,disgust,professional,86.0
14,4,8.0,14.4,fear,gamer,96.0
101,10,1.9,13.5,angry,gamer,100.0
109,11,9.6,5.6,angry,gamer,81.5
99,2,8.6,2.2,sad,student,68.0
13,13,7.1,4.0,surprise,casual,49.5
68,11,4.9,7.5,surprise,professional,46.5
81,2,7.1,6.4,surprise,student,38.0
23,10,2.6,12.3,sad,student,100.0
86,11,5.3,11.4,angry,student,100.0
73,12,3.4,7.5,sad,casual,100.0
35,9,10.2,12.3,fear,gamer,100.0
35,11,9.2,7.1,sad,gamer,91.5
53,12,3.5,8.9,disgust,student,83.0
88,9,3.5,10.4,No face detected,student,88.5
106,13,4.2,15.5,disgust,student,100.0
81,7,9.6,10.1,neutral,student,75.5
51,15,4.7,1.7,sad,professional,67.5
61,8,5.6,5.1,happy,casual,57.0
31,11,7.5,12.7,surprise,professional,56.5
95,3,3.7,2.5,happy,gamer,34.5
70,13,3.1,4.4,surprise,gamer,44.5
57,9,5.0,12.2,fear,professional,83.5
112,2,6.7,11.1,happy,gamer,38.0
25,6,5.1,13.6,No face detected,student,69.0
41,10,10.3,8.2,disgust,casual,95.0
36,8,8.5,14.1,fear,student,87.0
22,15,3.6,12.1,happy,student,82.5
55,13,9.8,1.4,fear,gamer,74.5
116,3,5.8,6.9,neutral,student,59.5
15,8,5.6,4.7,neutral,student,52.0
76,2,4.7,10.5,No face detected,professional,48.0
58,13,10.1,13.3,surprise,casual,84.5
17,7,3.8,7.4,No face detected,professional,80.5
49,1,6.4,6.5,happy,professional,11.5
63,8,10.1,8.8,sad,gamer,72.0
82,6,4.7,0.6,No face detected,gamer,39.0
96,14,4.9,4.5,happy,student,61.0
75,15,7.7,5.0,sad,professional,52.5
12,11,10.5,12.8,surprise,student,91.5
59,11,5.9,1.6,fear,student,66.5
98,7,6.9,11.6,fear,gamer,75.5
109,3,8.4,15.9,happy,gamer,54.5
108,10,3.0,8.5,happy,gamer,60.0
15,7,2.1,13.4,disgust,professional,100.0
70,0,2.8,6.3,sad,gamer,65.0
119,15,9.3,15.9,disgust,student,100.0
16,8,8.3,11.0,neutral,professional,72.0
82,11,10.2,15.6,happy,professional,71.5
32,10,5.5,12.7,fear,gamer,100.0
34,3,2.4,10.3,disgust,professional,89.5
106,8,8.3,13.5,surprise,casual,77.0
13,5,10.4,15.8,disgust,student,100.0
35,3,5.0,13.3,disgust,casual,69.5
77,7,4.4,4.7,No face detected,student,55.5
67,15,7.5,2.2,No face detected,casual,57.5
120,1,9.7,12.4,fear,casual,100.0
118,11,9.1,1.6,neutral,casual,66.5
55,11,2.2,15.3,surprise,casual,91.5
118,1,7.4,11.9,surprise,professional,51.5
66,7,1.1,5.6,disgust,gamer,65.5
11,9,3.6,15.1,disgust,casual,100.0
100,14,6.7,2.2,disgust,casual,76.0
62,8,3.2,13.2,fear,professional,97.0
81,7,5.3,15.3,fear,casual,100.0
18,8,2.5,15.1,disgust,student,100.0
48,15,6.5,2.9,disgust,casual,62.5
94,11,7.6,9.5,angry,casual,100.0
14,5,10.5,3.9,sad,casual,82.5
46,10,2.7,10.8,disgust,gamer,95.0
28,5,6.0,4.6,angry,student,52.5
66,12,6.9,1.2,surprise,professional,23.0
104,1,2.9,13.5,angry,casual,100.0
75,2,5.8,9.1,disgust,gamer,58.0
42,3,9.8,10.0,sad,professional,64.5
105,5,5.1,1.6,disgust,gamer,62.5
46,11,8.7,7.3,angry,student,76.5
24,11,2.9,13.3,No face detected,student,96.5
112,13,9.3,10.1,surprise,professional,79.5
13,9,8.7,12.7,neutral,casual,73.5
59,12,6.3,11.7,No face detected,gamer,48.0
48,10,9.0,1.1,fear,casual,75.0
16,3,7.7,15.2,neutral,professional,64.5
94,10,2.1,0.8,No face detected,casual,85.0
67,5,10.5,12.4,neutral,casual,82.5
72,8,2.5,4.6,disgust,casual,100.0
44,3,6.8,13.3,No face detected,gamer,54.5
44,6,10.6,9.1,neutral,gamer,69.0
120,8,6.0,9.2,happy,gamer,47.0
26,8,2.0,14.2,happy,student,72.0
99,9,5.6,7.9,fear,professional,88.5
86,8,8.0,10.0,surprise,professional,42.0
113,4,10.6,9.2,sad,gamer,91.0
50,6,10.7,2.2,sad,student,59.0
112,14,5.6,2.7,fear,student,96.0
65,7,5.8,9.3,No face detected,student,60.5
18,5,7.7,4.3,surprise,student,32.5
106,4,6.6,11.1,No face detected,student,66.0
11,8,9.1,15.8,disgust,casual,97.0
80,3,3.1,15.5,happy,professional,49.5
98,0,8.4,1.1,disgust,student,65.0
44,7,8.5,2.4,fear,casual,70.5
85,9,4.9,2.4,surprise,student,53.5
27,15,2.5,10.7,neutral,gamer,97.5
49,9,10.7,10.2,disgust,casual,98.5
59,7,3.5,7.7,neutral,professional,50.5
85,9,3.5,7.3,sad,gamer,73.5
91,4,7.3,5.4,happy,casual,46.0
20,0,9.1,5.0,neutral,gamer,50.0
61,2,1.3,5.5,surprise,casual,73.0
59,0,1.6,15.4,surprise,gamer,55.0
103,1,5.7,7.6,happy,professional,41.5
15,13,5.2,12.3,neutral,student,84.5
63,5,8.0,3.1,disgust,casual,67.5
119,14,8.8,9.3,happy,student,71.0
24,11,7.6,1.3,disgust,professional,71.5
55,13,3.5,1.1,fear,professional,79.5
82,13,2.9,14.4,angry,professional,100.0
80,3,10.4,12.7,sad,professional,74.5
71,8,1.3,10.9,disgust,casual,100.0
21,13,9.7,3.5,sad,casual,74.5
13,1,5.3,2.2,happy,student,36.5
98,0,6.9,9.2,surprise,casual,55.0
74,10,11.0,4.4,No face detected,student,65.0
116,0,4.6,7.3,No face detected,casual,75.0
97,2,3.9,13.9,fear,gamer,93.0
61,5,5.7,9.6,angry,casual,97.5
59,2,9.1,3.0,fear,gamer,58.0
71,4,3.1,11.5,angry,professional,81.0
50,14,10.5,8.2,happy,student,56.0
98,5,10.8,12.3,fear,student,100.0
33,11,3.1,15.6,neutral,professional,86.5
79,11,9.9,6.1,fear,student,96.5
116,10,9.6,13.4,angry,professional,100.0
41,11,9.9,9.3,angry,gamer,96.5
52,5,10.9,2.9,surprise,gamer,32.5
53,10,5.6,8.5,fear,casual,100.0
83,13,3.0,9.7,disgust,gamer,84.5
78,1,4.2,3.0,No face detected,student,46.5
100,7,3.0,6.6,fear,gamer,90.5
88,6,3.9,14.3,neutral,student,84.0
63,8,6.3,14.3,No face detected,professional,52.0
86,4,6.3,10.7,No face detected,professional,46.0
87,15,2.5,15.4,disgust,professional,100.0
89,1,3.3,5.1,sad,gamer,51.5
49,10,9.0,14.2,disgust,professional,80.0
32,7,4.5,1.5,surprise,professional,45.5
26,0,6.4,12.0,neutral,student,40.0
37,13,5.9,11.5,fear,gamer,100.0
90,2,3.7,16.0,fear,professional,98.0
19,14,8.7,12.1,fear,student,100.0
23,7,2.9,9.0,surprise,student,70.5
20,12,10.7,8.1,fear,gamer,100.0
108,8,5.1,9.9,happy,casual,72.0
104,5,5.4,12.0,No face detected,gamer,62.5
88,5,7.5,5.7,fear,student,77.5
92,9,4.3,12.0,happy,gamer,53.5
69,13,9.4,8.4,fear,gamer,84.5
37,11,2.4,7.7,sad,casual,96.5
90,14,1.2,10.5,angry,casual,100.0
45,15,3.2,10.1,fear,professional,97.5
34,9,9.1,15.0,angry,gamer,100.0
115,12,2.6,14.1,surprise,gamer,93.0
26,6,9.2,7.8,sad,professional,84.0
118,9,5.4,9.5,fear,student,100.0
97,3,3.7,14.7,No face detected,gamer,74.5
115,9,7.0,15.0,No face detected,casual,78.5
79,10,6.1,6.8,disgust,student,70.0
65,4,3.3,11.4,fear,casual,100.0
102,15,3.0,1.5,neutral,professional,72.5
76,5,9.4,4.1,disgust,student,67.5
16,13,3.5,5.9,surprise,student,74.5
28,10,6.8,9.2,neutral,casual,50.0
16,15,3.9,0.9,sad,professional,97.5
88,15,5.8,3.9,fear,professional,82.5
13,2,10.4,0.7,surprise,student,53.0
97,13,1.1,5.5,sad,professional,99.5
105,9,4.3,14.8,fear,student,100.0
57,3,2.9,4.1,disgust,gamer,59.5
103,1,3.8,9.5,disgust,gamer,81.5
50,10,1.5,12.0,sad,student,90.0
81,6,8.4,14.2,disgust,gamer,74.0
57,15,3.1,2.0,No face detected,gamer,57.5
68,6,7.1,11.4,No face detected,professional,44.0
39,3,10.3,6.6,disgust,professional,74.5
42,5,9.4,9.0,surprise,student,42.5
53,6,7.3,1.8,happy,gamer,9.0
66,4,3.3,5.2,angry,casual,96.0
23,12,1.7,15.4,surprise,casual,78.0
99,11,2.9,4.3,fear,gamer,91.5
13,3,5.0,3.9,sad,casual,69.5
113,9,7.2,2.6,sad,student,68.5
85,3,5.2,6.7,No face detected,professional,49.5
98,6,6.6,16.0,sad,gamer,74.0
61,10,1.3,12.0,surprise,professional,65.0
90,13,1.8,6.2,sad,casual,100.0
116,7,7.1,1.5,surprise,casual,40.5
78,0,5.9,14.1,neutral,gamer,45.0
57,0,5.1,9.2,angry,professional,60.0
94,4,9.9,10.7,No face detected,gamer,61.0
118,4,9.5,4.5,neutral,student,56.0
20,2,5.8,4.5,happy,student,28.0
80,1,2.4,12.5,neutral,gamer,56.5
67,13,8.9,2.8,sad,professional,59.5
67,8,6.8,4.1,No face detected,student,37.0
40,14,9.9,8.7,fear,casual,96.0
